query_image_path,query_label,group,conv_correct,dino_correct,conv_topk_image_paths,conv_topk_labels,conv_topk_scores,dino_topk_image_paths,dino_topk_labels,dino_topk_scores
/kaggle/input/rsna-png/data/test/47c78742-4998-4878-aec4-37b11b1354ac.png,normal,both_correct,True,True,"[""/kaggle/input/rsna-png/data/test/633d9182-1809-41b7-a59b-1e60ac91f0c9.png"", ""/kaggle/input/rsna-png/data/test/06b2f933-3ea2-4477-ac27-18f732d1f4e1.png"", ""/kaggle/input/rsna-png/data/test/76b180ab-242f-45d3-bce1-68df00c5ef45.png"", ""/kaggle/input/rsna-png/data/test/8db71746-e837-43c2-bdf1-c44d1ab207e3.png"", ""/kaggle/input/rsna-png/data/test/069cfd47-0169-43e7-89a1-0be0fa24105b.png""]","[""normal"", ""normal"", ""normal"", ""normal"", ""normal""]","[null, null, null, null, null]","[""/kaggle/input/rsna-png/data/test/d1e0d69c-a4df-485a-983c-535494221d1a.png"", ""/kaggle/input/rsna-png/data/test/b540ba89-72f7-40f5-a916-376546c20014.png"", ""/kaggle/input/rsna-png/data/test/a17f7e03-42a6-41d3-82ad-d8a656826936.png"", ""/kaggle/input/rsna-png/data/test/a7aef71b-0fc8-4837-be79-4ced56e03439.png"", ""/kaggle/input/rsna-png/data/test/d82e5841-2f43-4eab-ac17-e98a2d90c51b.png""]","[""normal"", ""normal"", ""normal"", ""normal"", ""normal""]","[null, null, null, null, null]"
/kaggle/input/rsna-png/data/test/8989e25c-a698-48fc-b428-fff56931fc8f.png,normal,both_correct,True,True,"[""/kaggle/input/rsna-png/data/test/f3b015ab-e337-4e7f-971d-eb7cc3dd4e92.png"", ""/kaggle/input/rsna-png/data/test/eaeb935a-7294-4dd3-8bf5-73ba781d28af.png"", ""/kaggle/input/rsna-png/data/test/f6236cb5-cc36-4ec4-895c-d11ce043341d.png"", ""/kaggle/input/rsna-png/data/test/3fe1550e-8bcb-4732-a343-725acce70531.png"", ""/kaggle/input/rsna-png/data/test/f8a11cd6-e541-4765-a41b-3d70b6f3481e.png""]","[""normal"", ""normal"", ""normal"", ""normal"", ""normal""]","[null, null, null, null, null]","[""/kaggle/input/rsna-png/data/test/ff332704-48e0-445b-9188-b2a696d1f0d7.png"", ""/kaggle/input/rsna-png/data/test/f6236cb5-cc36-4ec4-895c-d11ce043341d.png"", ""/kaggle/input/rsna-png/data/test/f3b015ab-e337-4e7f-971d-eb7cc3dd4e92.png"", ""/kaggle/input/rsna-png/data/test/372b2fea-2013-4600-a06f-765c3f054a82.png"", ""/kaggle/input/rsna-png/data/test/f31d1fb1-604b-4fec-b320-f07ce2694008.png""]","[""normal"", ""normal"", ""normal"", ""normal"", ""normal""]","[null, null, null, null, null]"
/kaggle/input/rsna-png/data/test/7fb3786c-5045-4a90-981d-c55b53d4d5d3.png,normal,both_correct,True,True,"[""/kaggle/input/rsna-png/data/test/585f5059-8938-4885-accb-d7d0b1097c60.png"", ""/kaggle/input/rsna-png/data/test/32a5977f-f8ab-41c9-9b51-5387248e4675.png"", ""/kaggle/input/rsna-png/data/test/dee054ff-0e1a-4167-b814-cbf339cf689c.png"", ""/kaggle/input/rsna-png/data/test/cb7d021b-b273-436a-bd7a-e68c11ed3f6b.png"", ""/kaggle/input/rsna-png/data/test/ec0492da-e6be-49cf-8b18-dc143180f1a2.png""]","[""normal"", ""pneumonia"", ""normal"", ""normal"", ""normal""]","[null, null, null, null, null]","[""/kaggle/input/rsna-png/data/test/e4cd65ae-65de-44fc-a6b2-ebbc46d2e8d8.png"", ""/kaggle/input/rsna-png/data/test/33e4e43b-054b-4537-9cd6-0fe574f7d337.png"", ""/kaggle/input/rsna-png/data/test/d1e0d69c-a4df-485a-983c-535494221d1a.png"", ""/kaggle/input/rsna-png/data/test/32a5977f-f8ab-41c9-9b51-5387248e4675.png"", ""/kaggle/input/rsna-png/data/test/cdac0980-033c-4685-b7e4-0a12c86a00a9.png""]","[""normal"", ""normal"", ""normal"", ""pneumonia"", ""normal""]","[null, null, null, null, null]"
/kaggle/input/rsna-png/data/test/766b8aea-3b43-4a34-b675-09f373ca066b.png,normal,both_correct,True,True,"[""/kaggle/input/rsna-png/data/test/99432aa3-8d61-4ff2-a79a-f0a0218d6fa2.png"", ""/kaggle/input/rsna-png/data/test/0bb24183-8b59-48f1-8bbf-4d889976fc82.png"", ""/kaggle/input/rsna-png/data/test/0103fadb-1663-40a6-8a9e-09d626cd2091.png"", ""/kaggle/input/rsna-png/data/test/bca4aa4d-0cc9-4cc0-b06d-5b675194bf62.png"", ""/kaggle/input/rsna-png/data/test/85d84453-ab2d-4666-98e6-5df3cbb81f5b.png""]","[""normal"", ""normal"", ""normal"", ""normal"", ""normal""]","[null, null, null, null, null]","[""/kaggle/input/rsna-png/data/test/5eb932e2-3455-40fe-93db-ae44f897d9e0.png"", ""/kaggle/input/rsna-png/data/test/dfa57c1f-01fb-4417-a1b5-0641a9b4bb84.png"", ""/kaggle/input/rsna-png/data/test/45dd0d26-0740-4c32-bd01-34246a41f3e3.png"", ""/kaggle/input/rsna-png/data/test/34bf2fcd-131a-428c-9a21-cd2fa9041f9b.png"", ""/kaggle/input/rsna-png/data/test/ec0492da-e6be-49cf-8b18-dc143180f1a2.png""]","[""normal"", ""normal"", ""normal"", ""normal"", ""normal""]","[null, null, null, null, null]"
/kaggle/input/rsna-png/data/test/f6236cb5-cc36-4ec4-895c-d11ce043341d.png,normal,both_correct,True,True,"[""/kaggle/input/rsna-png/data/test/f3b015ab-e337-4e7f-971d-eb7cc3dd4e92.png"", ""/kaggle/input/rsna-png/data/test/71d8d6ec-253b-4272-a467-311828b2a35b.png"", ""/kaggle/input/rsna-png/data/test/3fe1550e-8bcb-4732-a343-725acce70531.png"", ""/kaggle/input/rsna-png/data/test/3a5327d8-8830-4ae2-bd6b-293f5aa42d4b.png"", ""/kaggle/input/rsna-png/data/test/f8a11cd6-e541-4765-a41b-3d70b6f3481e.png""]","[""normal"", ""normal"", ""normal"", ""normal"", ""normal""]","[null, null, null, null, null]","[""/kaggle/input/rsna-png/data/test/06b2f933-3ea2-4477-ac27-18f732d1f4e1.png"", ""/kaggle/input/rsna-png/data/test/069cfd47-0169-43e7-89a1-0be0fa24105b.png"", ""/kaggle/input/rsna-png/data/test/f31d1fb1-604b-4fec-b320-f07ce2694008.png"", ""/kaggle/input/rsna-png/data/test/7ca5c75a-1ec6-49a7-a3b0-93b6122a3170.png"", ""/kaggle/input/rsna-png/data/test/b540ba89-72f7-40f5-a916-376546c20014.png""]","[""normal"", ""normal"", ""normal"", ""normal"", ""normal""]","[null, null, null, null, null]"
/kaggle/input/rsna-png/data/test/153b7c2b-4909-4dca-8579-9523582bc4fe.png,normal,both_correct,True,True,"[""/kaggle/input/rsna-png/data/test/7ca5c75a-1ec6-49a7-a3b0-93b6122a3170.png"", ""/kaggle/input/rsna-png/data/test/168f4fcb-a87d-49fc-b167-4ed42fd1ec43.png"", ""/kaggle/input/rsna-png/data/test/0103fadb-1663-40a6-8a9e-09d626cd2091.png"", ""/kaggle/input/rsna-png/data/test/ff332704-48e0-445b-9188-b2a696d1f0d7.png"", ""/kaggle/input/rsna-png/data/test/0bb24183-8b59-48f1-8bbf-4d889976fc82.png""]","[""normal"", ""normal"", ""normal"", ""normal"", ""normal""]","[null, null, null, null, null]","[""/kaggle/input/rsna-png/data/test/d82e5841-2f43-4eab-ac17-e98a2d90c51b.png"", ""/kaggle/input/rsna-png/data/test/d1e0d69c-a4df-485a-983c-535494221d1a.png"", ""/kaggle/input/rsna-png/data/test/47c78742-4998-4878-aec4-37b11b1354ac.png"", ""/kaggle/input/rsna-png/data/test/a17f7e03-42a6-41d3-82ad-d8a656826936.png"", ""/kaggle/input/rsna-png/data/test/b540ba89-72f7-40f5-a916-376546c20014.png""]","[""normal"", ""normal"", ""normal"", ""normal"", ""normal""]","[null, null, null, null, null]"
/kaggle/input/rsna-png/data/test/1afd6582-da9d-4e5a-a81f-62a188fe9366.png,normal,both_correct,True,True,"[""/kaggle/input/rsna-png/data/test/f3b015ab-e337-4e7f-971d-eb7cc3dd4e92.png"", ""/kaggle/input/rsna-png/data/test/71d25920-4060-4a31-b7aa-cfbf4721a5c5.png"", ""/kaggle/input/rsna-png/data/test/f6236cb5-cc36-4ec4-895c-d11ce043341d.png"", ""/kaggle/input/rsna-png/data/test/f8a11cd6-e541-4765-a41b-3d70b6f3481e.png"", ""/kaggle/input/rsna-png/data/test/eaeb935a-7294-4dd3-8bf5-73ba781d28af.png""]","[""normal"", ""normal"", ""normal"", ""normal"", ""normal""]","[null, null, null, null, null]","[""/kaggle/input/rsna-png/data/test/9e2ddac8-9a4c-448b-98c8-a840a548d0f7.png"", ""/kaggle/input/rsna-png/data/test/d82e5841-2f43-4eab-ac17-e98a2d90c51b.png"", ""/kaggle/input/rsna-png/data/test/47c78742-4998-4878-aec4-37b11b1354ac.png"", ""/kaggle/input/rsna-png/data/test/b540ba89-72f7-40f5-a916-376546c20014.png"", ""/kaggle/input/rsna-png/data/test/f1c8caa2-a6dc-40c0-ab85-4769688f1eec.png""]","[""normal"", ""normal"", ""normal"", ""normal"", ""normal""]","[null, null, null, null, null]"
/kaggle/input/rsna-png/data/test/85bb48fe-e6d6-47de-bb71-d1636aced7dc.png,normal,both_correct,True,True,"[""/kaggle/input/rsna-png/data/test/a0b9597d-93f4-4a7c-a412-81cb78bccb66.png"", ""/kaggle/input/rsna-png/data/test/35cda03a-0898-4f8b-92d3-6f263aed23ff.png"", ""/kaggle/input/rsna-png/data/test/fc958b63-5da8-448d-8962-3c5167dc9410.png"", ""/kaggle/input/rsna-png/data/test/1d1968e2-88a5-4d72-9237-caf4cbad9423.png"", ""/kaggle/input/rsna-png/data/test/ac10f43e-03b8-43d2-bcae-6fe000542397.png""]","[""normal"", ""normal"", ""normal"", ""normal"", ""pneumonia""]","[null, null, null, null, null]","[""/kaggle/input/rsna-png/data/test/e4cd65ae-65de-44fc-a6b2-ebbc46d2e8d8.png"", ""/kaggle/input/rsna-png/data/test/d3ad2915-af30-426c-ad2d-1634df8c1b5f.png"", ""/kaggle/input/rsna-png/data/test/33e4e43b-054b-4537-9cd6-0fe574f7d337.png"", ""/kaggle/input/rsna-png/data/test/bc46651a-1314-44af-a834-1eb8a36e589e.png"", ""/kaggle/input/rsna-png/data/test/7fb3786c-5045-4a90-981d-c55b53d4d5d3.png""]","[""normal"", ""normal"", ""normal"", ""normal"", ""normal""]","[null, null, null, null, null]"
/kaggle/input/rsna-png/data/test/eaeb935a-7294-4dd3-8bf5-73ba781d28af.png,normal,both_correct,True,True,"[""/kaggle/input/rsna-png/data/test/07aeb82e-773b-4498-95c0-fabdf4985bb2.png"", ""/kaggle/input/rsna-png/data/test/e8485b0f-293d-4ca8-8b71-92db61c8ee3e.png"", ""/kaggle/input/rsna-png/data/test/8989e25c-a698-48fc-b428-fff56931fc8f.png"", ""/kaggle/input/rsna-png/data/test/f8a11cd6-e541-4765-a41b-3d70b6f3481e.png"", ""/kaggle/input/rsna-png/data/test/f3b015ab-e337-4e7f-971d-eb7cc3dd4e92.png""]","[""normal"", ""normal"", ""normal"", ""normal"", ""normal""]","[null, null, null, null, null]","[""/kaggle/input/rsna-png/data/test/33e4e43b-054b-4537-9cd6-0fe574f7d337.png"", ""/kaggle/input/rsna-png/data/test/f31d1fb1-604b-4fec-b320-f07ce2694008.png"", ""/kaggle/input/rsna-png/data/test/73dca3d1-5c58-4c72-80a9-201deca7ffec.png"", ""/kaggle/input/rsna-png/data/test/71d25920-4060-4a31-b7aa-cfbf4721a5c5.png"", ""/kaggle/input/rsna-png/data/test/06b2f933-3ea2-4477-ac27-18f732d1f4e1.png""]","[""normal"", ""normal"", ""normal"", ""normal"", ""normal""]","[null, null, null, null, null]"
/kaggle/input/rsna-png/data/test/5f137fa7-6539-499e-b0d5-0e481221bf5a.png,normal,both_correct,True,True,"[""/kaggle/input/rsna-png/data/test/e155c13d-7ac7-4765-bb86-899349978413.png"", ""/kaggle/input/rsna-png/data/test/adce8349-6836-4328-ab63-f356d0bbe298.png"", ""/kaggle/input/rsna-png/data/test/af169d21-1c39-445e-82d8-5035182a3a8c.png"", ""/kaggle/input/rsna-png/data/test/0a8d486f-1aa6-4fcf-b7be-4bf04fc8628b.png"", ""/kaggle/input/rsna-png/data/test/7817b551-d220-479b-815f-395f83e1dba1.png""]","[""normal"", ""pneumonia"", ""pneumonia"", ""pneumonia"", ""pneumonia""]","[null, null, null, null, null]","[""/kaggle/input/rsna-png/data/test/6b969591-8a07-49ed-9f65-fa19a453df59.png"", ""/kaggle/input/rsna-png/data/test/ca3c90e4-f7fe-4f6e-b20b-81473deab4f0.png"", ""/kaggle/input/rsna-png/data/test/0d9b1283-fc24-4fd3-a520-bc5d563e13e1.png"", ""/kaggle/input/rsna-png/data/test/b479635e-4c58-4d27-879b-fb0e87b2a1aa.png"", ""/kaggle/input/rsna-png/data/test/960131aa-4ce4-4b26-aa12-5f73d8d81453.png""]","[""normal"", ""normal"", ""pneumonia"", ""pneumonia"", ""normal""]","[null, null, null, null, null]"
