query_image_path,query_label,group,conv_correct,dino_correct,conv_topk_image_paths,conv_topk_labels,conv_topk_scores,dino_topk_image_paths,dino_topk_labels,dino_topk_scores
/kaggle/input/rsna-png/data/test/436dce2a-06c3-4281-bb8e-840497a49381.png,normal,both_wrong,False,False,"[""/kaggle/input/rsna-png/data/test/88de9d8c39e946abd495b37cd07d89e5-0666-0.jpg"", ""/kaggle/input/rsna-png/data/test/1B734A89-A1BF-49A8-A1D3-66FAFA4FAC5D.jpeg"", ""/kaggle/input/rsna-png/data/test/covid-19-pneumonia-44-day-0.jpeg"", ""/kaggle/input/rsna-png/data/test/COVID-94.png"", ""/kaggle/input/rsna-png/data/test/DX.1.2.840.113564.1722810162.20200409093935803690.1203801020003.png""]","[""COVID-19"", ""COVID-19"", ""COVID-19"", ""COVID-19"", ""COVID-19""]","[null, null, null, null, null]","[""/kaggle/input/rsna-png/data/test/8FDE8DBA-CFBD-4B4C-B1A4-6F36A93B7E87.jpeg"", ""/kaggle/input/rsna-png/data/test/02e4191e-fb03-4581-914c-f0438a17e53e.png"", ""/kaggle/input/rsna-png/data/test/a8dfd068-69e9-4486-bb22-2a04f2f2e1a5.png"", ""/kaggle/input/rsna-png/data/test/a8e3ea7d-0b63-45cf-85d8-1078d3e2449d.png"", ""/kaggle/input/rsna-png/data/test/dab2f334-331c-42c7-af09-a997092464b0.png""]","[""COVID-19"", ""normal"", ""normal"", ""normal"", ""normal""]","[null, null, null, null, null]"
/kaggle/input/rsna-png/data/test/fd7bad9a-1bff-49ec-9c6c-c9aae9e65726.png,normal,both_wrong,False,False,"[""/kaggle/input/rsna-png/data/test/ac10f43e-03b8-43d2-bcae-6fe000542397.png"", ""/kaggle/input/rsna-png/data/test/1d1968e2-88a5-4d72-9237-caf4cbad9423.png"", ""/kaggle/input/rsna-png/data/test/35cda03a-0898-4f8b-92d3-6f263aed23ff.png"", ""/kaggle/input/rsna-png/data/test/2f8fbfdc-56db-4eca-bf64-3c9a0637e28c.png"", ""/kaggle/input/rsna-png/data/test/85bb48fe-e6d6-47de-bb71-d1636aced7dc.png""]","[""pneumonia"", ""normal"", ""normal"", ""normal"", ""normal""]","[null, null, null, null, null]","[""/kaggle/input/rsna-png/data/test/ac10f43e-03b8-43d2-bcae-6fe000542397.png"", ""/kaggle/input/rsna-png/data/test/3e1b619a-cdd9-495a-bcbf-a9d62b418991.png"", ""/kaggle/input/rsna-png/data/test/33e4e43b-054b-4537-9cd6-0fe574f7d337.png"", ""/kaggle/input/rsna-png/data/test/7fb3786c-5045-4a90-981d-c55b53d4d5d3.png"", ""/kaggle/input/rsna-png/data/test/2ed06be4-9f0e-4256-b8bf-a4b396cc6364.png""]","[""pneumonia"", ""normal"", ""normal"", ""normal"", ""normal""]","[null, null, null, null, null]"
/kaggle/input/rsna-png/data/test/e1d23cbe-213d-48d6-a8c2-672c4e68285d.png,normal,both_wrong,False,False,"[""/kaggle/input/rsna-png/data/test/16654_1_1.png"", ""/kaggle/input/rsna-png/data/test/34bf2fcd-131a-428c-9a21-cd2fa9041f9b.png"", ""/kaggle/input/rsna-png/data/test/b51c3c24-f9aa-4039-9fc1-527a5567dff6.png"", ""/kaggle/input/rsna-png/data/test/SARS-10.1148rg.242035193-g04mr34g05x-Fig5-day9.jpeg"", ""/kaggle/input/rsna-png/data/test/070c921f-171c-420c-915b-e49e3f600c38.png""]","[""COVID-19"", ""normal"", ""pneumonia"", ""pneumonia"", ""pneumonia""]","[null, null, null, null, null]","[""/kaggle/input/rsna-png/data/test/6df82c7a-a91e-487c-ae3a-9022b17d7c7a.png"", ""/kaggle/input/rsna-png/data/test/5eb932e2-3455-40fe-93db-ae44f897d9e0.png"", ""/kaggle/input/rsna-png/data/test/37f17069-62ce-42ff-9fa4-d6a1056bd075.png"", ""/kaggle/input/rsna-png/data/test/b8dd7d32-b177-4d1e-982f-6f0a743828fa.png"", ""/kaggle/input/rsna-png/data/test/dfa57c1f-01fb-4417-a1b5-0641a9b4bb84.png""]","[""pneumonia"", ""normal"", ""pneumonia"", ""normal"", ""normal""]","[null, null, null, null, null]"
/kaggle/input/rsna-png/data/test/960131aa-4ce4-4b26-aa12-5f73d8d81453.png,normal,both_wrong,False,False,"[""/kaggle/input/rsna-png/data/test/0d9b1283-fc24-4fd3-a520-bc5d563e13e1.png"", ""/kaggle/input/rsna-png/data/test/6b969591-8a07-49ed-9f65-fa19a453df59.png"", ""/kaggle/input/rsna-png/data/test/7817b551-d220-479b-815f-395f83e1dba1.png"", ""/kaggle/input/rsna-png/data/test/5f137fa7-6539-499e-b0d5-0e481221bf5a.png"", ""/kaggle/input/rsna-png/data/test/7fb3786c-5045-4a90-981d-c55b53d4d5d3.png""]","[""pneumonia"", ""normal"", ""pneumonia"", ""normal"", ""normal""]","[null, null, null, null, null]","[""/kaggle/input/rsna-png/data/test/0d9b1283-fc24-4fd3-a520-bc5d563e13e1.png"", ""/kaggle/input/rsna-png/data/test/a0a8370a-dc3f-4f70-a440-e3fa9827928a.png"", ""/kaggle/input/rsna-png/data/test/5f137fa7-6539-499e-b0d5-0e481221bf5a.png"", ""/kaggle/input/rsna-png/data/test/ca3c90e4-f7fe-4f6e-b20b-81473deab4f0.png"", ""/kaggle/input/rsna-png/data/test/b479635e-4c58-4d27-879b-fb0e87b2a1aa.png""]","[""pneumonia"", ""pneumonia"", ""normal"", ""normal"", ""pneumonia""]","[null, null, null, null, null]"
/kaggle/input/rsna-png/data/test/SARS-10.1148rg.242035193-g04mr34g05x-Fig5-day9.jpeg,pneumonia,both_wrong,False,False,"[""/kaggle/input/rsna-png/data/test/16654_1_1.png"", ""/kaggle/input/rsna-png/data/test/e1d23cbe-213d-48d6-a8c2-672c4e68285d.png"", ""/kaggle/input/rsna-png/data/test/b51c3c24-f9aa-4039-9fc1-527a5567dff6.png"", ""/kaggle/input/rsna-png/data/test/CR.1.2.840.113564.1722810170.20200321002029359840.1003000225002.png"", ""/kaggle/input/rsna-png/data/test/436dce2a-06c3-4281-bb8e-840497a49381.png""]","[""COVID-19"", ""normal"", ""pneumonia"", ""COVID-19"", ""normal""]","[null, null, null, null, null]","[""/kaggle/input/rsna-png/data/test/CR.1.2.840.113564.1722810170.20200329171322703880.1003000225002.png"", ""/kaggle/input/rsna-png/data/test/88de9d8c39e946abd495b37cd07d89e5-2ee6-0.jpg"", ""/kaggle/input/rsna-png/data/test/B2D20576-00B7-4519-A415-72DE29C90C34.jpeg"", ""/kaggle/input/rsna-png/data/test/covid-19-pneumonia-44-day-0.jpeg"", ""/kaggle/input/rsna-png/data/test/covid-19-pneumonia-20.jpg""]","[""COVID-19"", ""COVID-19"", ""COVID-19"", ""COVID-19"", ""COVID-19""]","[null, null, null, null, null]"
/kaggle/input/rsna-png/data/test/b51c3c24-f9aa-4039-9fc1-527a5567dff6.png,pneumonia,both_wrong,False,False,"[""/kaggle/input/rsna-png/data/test/34bf2fcd-131a-428c-9a21-cd2fa9041f9b.png"", ""/kaggle/input/rsna-png/data/test/16654_1_1.png"", ""/kaggle/input/rsna-png/data/test/e1d23cbe-213d-48d6-a8c2-672c4e68285d.png"", ""/kaggle/input/rsna-png/data/test/3e1b619a-cdd9-495a-bcbf-a9d62b418991.png"", ""/kaggle/input/rsna-png/data/test/SARS-10.1148rg.242035193-g04mr34g05x-Fig5-day9.jpeg""]","[""normal"", ""COVID-19"", ""normal"", ""normal"", ""pneumonia""]","[null, null, null, null, null]","[""/kaggle/input/rsna-png/data/test/ec0492da-e6be-49cf-8b18-dc143180f1a2.png"", ""/kaggle/input/rsna-png/data/test/dfa57c1f-01fb-4417-a1b5-0641a9b4bb84.png"", ""/kaggle/input/rsna-png/data/test/585f5059-8938-4885-accb-d7d0b1097c60.png"", ""/kaggle/input/rsna-png/data/test/c485a9bd-6e18-4328-8c5c-cf80f71aa35d.png"", ""/kaggle/input/rsna-png/data/test/633d9182-1809-41b7-a59b-1e60ac91f0c9.png""]","[""normal"", ""normal"", ""normal"", ""normal"", ""normal""]","[null, null, null, null, null]"
/kaggle/input/rsna-png/data/test/0d9b1283-fc24-4fd3-a520-bc5d563e13e1.png,pneumonia,both_wrong,False,False,"[""/kaggle/input/rsna-png/data/test/960131aa-4ce4-4b26-aa12-5f73d8d81453.png"", ""/kaggle/input/rsna-png/data/test/6b969591-8a07-49ed-9f65-fa19a453df59.png"", ""/kaggle/input/rsna-png/data/test/7817b551-d220-479b-815f-395f83e1dba1.png"", ""/kaggle/input/rsna-png/data/test/5f137fa7-6539-499e-b0d5-0e481221bf5a.png"", ""/kaggle/input/rsna-png/data/test/e155c13d-7ac7-4765-bb86-899349978413.png""]","[""normal"", ""normal"", ""pneumonia"", ""normal"", ""normal""]","[null, null, null, null, null]","[""/kaggle/input/rsna-png/data/test/ca3c90e4-f7fe-4f6e-b20b-81473deab4f0.png"", ""/kaggle/input/rsna-png/data/test/960131aa-4ce4-4b26-aa12-5f73d8d81453.png"", ""/kaggle/input/rsna-png/data/test/5f137fa7-6539-499e-b0d5-0e481221bf5a.png"", ""/kaggle/input/rsna-png/data/test/af6ef3d9-81c8-434e-bc5a-dbf89bc418aa.png"", ""/kaggle/input/rsna-png/data/test/a0a8370a-dc3f-4f70-a440-e3fa9827928a.png""]","[""normal"", ""normal"", ""normal"", ""normal"", ""pneumonia""]","[null, null, null, null, null]"
/kaggle/input/rsna-png/data/test/aef87dc2-a097-4683-9fb1-d1af6838a16a.png,pneumonia,both_wrong,False,False,"[""/kaggle/input/rsna-png/data/test/d3ad2915-af30-426c-ad2d-1634df8c1b5f.png"", ""/kaggle/input/rsna-png/data/test/cb7d021b-b273-436a-bd7a-e68c11ed3f6b.png"", ""/kaggle/input/rsna-png/data/test/45dd0d26-0740-4c32-bd01-34246a41f3e3.png"", ""/kaggle/input/rsna-png/data/test/ca3c90e4-f7fe-4f6e-b20b-81473deab4f0.png"", ""/kaggle/input/rsna-png/data/test/e8485b0f-293d-4ca8-8b71-92db61c8ee3e.png""]","[""normal"", ""normal"", ""normal"", ""normal"", ""normal""]","[null, null, null, null, null]","[""/kaggle/input/rsna-png/data/test/d82e5841-2f43-4eab-ac17-e98a2d90c51b.png"", ""/kaggle/input/rsna-png/data/test/33e4e43b-054b-4537-9cd6-0fe574f7d337.png"", ""/kaggle/input/rsna-png/data/test/06b2f933-3ea2-4477-ac27-18f732d1f4e1.png"", ""/kaggle/input/rsna-png/data/test/f31d1fb1-604b-4fec-b320-f07ce2694008.png"", ""/kaggle/input/rsna-png/data/test/cb7d021b-b273-436a-bd7a-e68c11ed3f6b.png""]","[""normal"", ""normal"", ""normal"", ""normal"", ""normal""]","[null, null, null, null, null]"
/kaggle/input/rsna-png/data/test/ac10f43e-03b8-43d2-bcae-6fe000542397.png,pneumonia,both_wrong,False,False,"[""/kaggle/input/rsna-png/data/test/fd7bad9a-1bff-49ec-9c6c-c9aae9e65726.png"", ""/kaggle/input/rsna-png/data/test/1d1968e2-88a5-4d72-9237-caf4cbad9423.png"", ""/kaggle/input/rsna-png/data/test/4b1cab8a-c9bd-40e6-bc86-23c6be98a099.png"", ""/kaggle/input/rsna-png/data/test/85bb48fe-e6d6-47de-bb71-d1636aced7dc.png"", ""/kaggle/input/rsna-png/data/test/0977f16c-c343-42c9-95ed-d7ca996feb16.png""]","[""normal"", ""normal"", ""normal"", ""normal"", ""normal""]","[null, null, null, null, null]","[""/kaggle/input/rsna-png/data/test/fd7bad9a-1bff-49ec-9c6c-c9aae9e65726.png"", ""/kaggle/input/rsna-png/data/test/7fb3786c-5045-4a90-981d-c55b53d4d5d3.png"", ""/kaggle/input/rsna-png/data/test/3e1b619a-cdd9-495a-bcbf-a9d62b418991.png"", ""/kaggle/input/rsna-png/data/test/33e4e43b-054b-4537-9cd6-0fe574f7d337.png"", ""/kaggle/input/rsna-png/data/test/35cda03a-0898-4f8b-92d3-6f263aed23ff.png""]","[""normal"", ""normal"", ""normal"", ""normal"", ""normal""]","[null, null, null, null, null]"
/kaggle/input/rsna-png/data/test/32a5977f-f8ab-41c9-9b51-5387248e4675.png,pneumonia,both_wrong,False,False,"[""/kaggle/input/rsna-png/data/test/585f5059-8938-4885-accb-d7d0b1097c60.png"", ""/kaggle/input/rsna-png/data/test/ec0492da-e6be-49cf-8b18-dc143180f1a2.png"", ""/kaggle/input/rsna-png/data/test/dee054ff-0e1a-4167-b814-cbf339cf689c.png"", ""/kaggle/input/rsna-png/data/test/7fb3786c-5045-4a90-981d-c55b53d4d5d3.png"", ""/kaggle/input/rsna-png/data/test/cb7d021b-b273-436a-bd7a-e68c11ed3f6b.png""]","[""normal"", ""normal"", ""normal"", ""normal"", ""normal""]","[null, null, null, null, null]","[""/kaggle/input/rsna-png/data/test/33e4e43b-054b-4537-9cd6-0fe574f7d337.png"", ""/kaggle/input/rsna-png/data/test/b540ba89-72f7-40f5-a916-376546c20014.png"", ""/kaggle/input/rsna-png/data/test/06b2f933-3ea2-4477-ac27-18f732d1f4e1.png"", ""/kaggle/input/rsna-png/data/test/b76728e6-f44b-40bf-8688-e703d10d2039.png"", ""/kaggle/input/rsna-png/data/test/f8a11cd6-e541-4765-a41b-3d70b6f3481e.png""]","[""normal"", ""normal"", ""normal"", ""normal"", ""normal""]","[null, null, null, null, null]"
